DEP,COD_MUNI_,NOMBRE,Total_Viviendas,POBL.
16,1622,San Nicolas,"4,305","14,368"
16,1623,San Pedro Zacapa,"2,817","10,535"
16,1624,Santa Rita,"1,121","3,975"
16,1625,San Vicente Centenario,"1,149","3,601"
16,1626,Trinidad,"5,422","19,593"
16,1627,Las Vegas,"6,461","23,980"
16,1628,Nueva Frontera,"3,819","13,069"
17,1701,Nacaome,"14,157","57,345"
17,1702,Alianza,"2,411","7,491"
17,1703,Amapala,"3,209","12,250"
17,1704,Aramecina,"1,842","7,173"
17,1705,Caridad,"1,039","3,927"
17,1706,Goascoran,"4,151","14,342"
17,1707,Langue,"4,959","20,944"
17,1708,San Francisco de Coray,"2,244","9,743"
17,1709,San Lorenzo,"10,305","41,297"
18,1801,Yoro,"20,736","8,665"
18,1802,Arenal,"1,427","5,949"
18,1803,El Negrito,"11,859","45,363"
18,1804,El Progreso,"49,492","188,366"
18,1805,Jocon,"2,183","9,591"
18,1806,Morazan,"10,426","40,402"
18,1807,Olanchito,"27,227","104,609"
18,1808,Santa Rita,"5,497","20,301"
18,1809,Sulaco,"4,519","17,509"
18,1810,Victoria,"7,885","33,019"
18,1811,Yorito,"4,669","18,823"
